Stimulus,from \ to [count],Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,
,
,
hl.avi,,speaker 2,speaker 1,brown toy,green toy,leg 1,leg 2,arm 1,hand 1,hand 2,arm 2,torso,head,
hl.avi,speaker 2,1,0,0,0,0,0,1,0,1,0,1,0,
hl.avi,speaker 1,0,7,0,0,2,0,2,0,1,0,1,1,
hl.avi,brown toy,0,0,9,1,1,1,0,2,0,0,9,6,
hl.avi,green toy,0,0,1,0,0,0,0,0,0,0,1,2,
hl.avi,leg 1,0,1,2,0,1,3,1,0,1,0,6,5,
hl.avi,leg 2,0,0,4,0,1,2,0,0,0,1,4,3,
hl.avi,arm 1,0,1,0,0,2,0,7,0,1,1,3,1,
hl.avi,hand 1,1,2,1,0,1,0,2,3,0,0,1,3,
hl.avi,hand 2,0,0,0,0,2,0,1,0,16,2,4,7,
hl.avi,arm 2,0,0,0,0,0,1,0,1,5,3,1,0,
hl.avi,torso,0,2,4,0,5,0,2,2,5,3,23,16,
hl.avi,head,0,1,8,1,5,5,0,2,4,1,10,20,
rl.avi,,speaker 2,speaker 1,brown toy,green toy,leg 1,leg 2,hand 2,arm 2,hand 1,arm 1,head,torso,
rl.avi,speaker 2,3,0,0,0,0,1,0,0,0,0,1,0,
rl.avi,speaker 1,1,7,0,0,1,1,0,0,0,0,2,7,
rl.avi,brown toy,0,0,48,0,5,5,4,2,27,0,7,8,
rl.avi,green toy,0,0,0,1,0,0,0,0,0,1,1,0,
rl.avi,leg 1,0,2,4,0,14,11,0,1,1,0,8,12,
rl.avi,leg 2,1,0,4,0,9,15,1,1,0,0,12,22,
rl.avi,hand 2,0,0,4,0,0,0,5,1,0,0,3,4,
rl.avi,arm 2,0,0,2,0,0,1,1,3,2,0,2,5,
rl.avi,hand 1,0,1,24,0,5,2,0,0,24,0,7,3,
rl.avi,arm 1,0,1,0,0,1,0,0,0,0,1,1,0,
rl.avi,head,1,3,9,1,10,11,2,3,6,1,67,16,
rl.avi,torso,0,6,6,0,14,18,4,2,5,2,34,67,
