Trial,Subject,Color,Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time [ms],Sequence,Net Dwell Time [ms],Dwell Time [ms],Glance Duration [ms],Diversion Duration [ms],First Fixation Duration [ms],Glances Count,Revisits,Fixation Count,Appearance Count,Visible Time [ms],Visible Time [%],Net Dwell Time [%],Dwell Time [%],Fixation Time [ms],Fixation Time [%],Time to First Mouse Click [ms],
Trial005,P24,Coral,rh.avi,speaker 2,,Local,1,259346,12.5,0,111094,45660.5,162,731.6,567.9,695.7,871.8,167.9,3.0,2.0,3.0,1.0,32006.0,28.8,0.7,0.5,567.9,0.5,-,
Trial005,P25,CornflowerBlue,rh.avi,speaker 2,,Local,1,259346,12.5,0,111076,46062.4,165,2502.4,3955.3,4047.4,4195.3,216.0,2.0,1.0,3.0,1.0,32006.0,28.8,2.3,3.6,3911.2,3.5,-,
Trial006,P26,Crimson,rh.avi,speaker 2,,Local,1,259346,12.5,0,111073,45659.8,161,1819.8,4679.3,5051.4,5315.6,456.0,4.0,3.0,4.0,1.0,32006.0,28.8,1.6,4.2,4679.3,4.2,-,
Trial008,P27,Cyan,rh.avi,speaker 2,,Local,1,259346,12.5,0,111108,45882.3,163,4314.0,3815.9,3939.6,4219.6,603.9,5.0,4.0,11.0,1.0,32006.0,28.8,3.9,3.4,3639.1,3.3,-,
Trial005,P28,DarkBlue,rh.avi,speaker 2,,Local,1,259346,12.5,0,111031,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,1.0,32006.0,28.8,0.0,0.0,0.0,0.0,-,
Trial005,P29,DarkCyan,rh.avi,speaker 2,,Local,1,259346,12.5,0,110994,44533.7,158,1732.1,1502.2,1790.2,2018.3,256.0,4.0,3.0,4.0,1.0,32006.0,28.8,1.6,1.4,1502.2,1.4,-,
Trial005,P30,DarkGoldenrod,rh.avi,speaker 2,,Local,1,259346,12.5,0,111114,49028.0,170,463.8,415.8,455.9,531.9,167.9,1.0,0.0,2.0,1.0,32006.0,28.8,0.4,0.4,383.9,0.3,-,
Trial005,P31,DarkGray,rh.avi,speaker 2,,Local,1,259346,12.5,0,111034,47160.4,168,663.8,491.9,663.9,780.0,232.0,2.0,1.0,2.0,1.0,32006.0,28.8,0.6,0.4,491.9,0.4,-,
Trial005,P32,DarkGreen,rh.avi,speaker 2,,Local,1,259346,12.5,0,111049,44520.3,157,1244.8,1091.8,1295.9,1419.6,193.0,2.0,1.0,4.0,1.0,32006.0,28.8,1.1,1.0,1007.9,0.9,-,
Trial006,P33,DarkKhaki,rh.avi,speaker 2,,Local,1,259346,12.5,0,110996,44838.8,159,1963.7,1751.1,1998.9,2303.2,139.7,4.0,3.0,6.0,1.0,32006.0,28.8,1.8,1.6,1668.0,1.5,-,
Trial005,P24,Coral,rh.avi,speaker 1,,Local,2,248043,12.0,0,111094,47804.1,169,2191.8,1720.0,1968.1,2267.4,320.0,6.0,5.0,9.0,1.0,32006.0,28.8,2.0,1.5,1595.5,1.4,-,
Trial005,P25,CornflowerBlue,rh.avi,speaker 1,,Local,2,248043,12.0,0,111076,42722.9,153,17929.3,17945.2,18244.9,18577.0,144.0,9.0,8.0,17.0,1.0,32006.0,28.8,16.1,16.2,17657.3,15.9,-,
Trial006,P26,Crimson,rh.avi,speaker 1,,Local,2,248043,12.0,0,111073,42904.4,155,3440.7,3062.6,3418.7,3747.0,135.8,6.0,5.0,7.0,1.0,32006.0,28.8,3.1,2.8,3010.6,2.7,-,
Trial008,P27,Cyan,rh.avi,speaker 1,,Local,2,248043,12.0,0,111108,45254.3,160,17190.3,15861.8,16385.5,17149.8,348.1,14.0,13.0,32.0,1.0,32006.0,28.8,15.5,14.3,14993.4,13.5,-,
Trial005,P28,DarkBlue,rh.avi,speaker 1,,Local,2,248043,12.0,0,111031,-,-,100.7,0.0,0.0,0.0,0.0,0.0,-,0.0,1.0,32006.0,28.8,0.1,0.0,0.0,0.0,-,
Trial005,P29,DarkCyan,rh.avi,speaker 1,,Local,2,248043,12.0,0,110994,42849.9,154,3513.4,3267.1,3503.7,4000.7,148.0,7.0,6.0,10.0,1.0,32006.0,28.8,3.2,2.9,3138.9,2.8,-,
Trial005,P30,DarkGoldenrod,rh.avi,speaker 1,,Local,2,248043,12.0,0,111114,46692.5,167,962.8,497.8,566.0,675.8,201.8,2.0,1.0,2.0,1.0,32006.0,28.8,0.9,0.4,497.8,0.4,-,
Trial005,P31,DarkGray,rh.avi,speaker 1,,Local,2,248043,12.0,0,111034,42949.0,156,7451.2,6543.3,7339.3,7818.6,147.9,11.0,10.0,16.0,1.0,32006.0,28.8,6.7,5.9,6199.0,5.6,-,
Trial005,P32,DarkGreen,rh.avi,speaker 1,,Local,2,248043,12.0,0,111049,46519.9,166,4934.0,4598.5,4986.5,5218.3,144.1,4.0,3.0,13.0,1.0,32006.0,28.8,4.4,4.1,4001.9,3.6,-,
Trial006,P33,DarkKhaki,rh.avi,speaker 1,,Local,2,248043,12.0,0,110996,45946.5,164,5073.1,5233.9,5600.2,5980.1,279.9,7.0,6.0,12.0,1.0,32006.0,28.8,4.6,4.7,5028.3,4.5,-,
Trial005,P24,Coral,rh.avi,brown toy,,Local,3,126681,6.1,0,111094,6186.6,62,4530.3,4111.7,4455.7,4827.5,507.9,6.0,5.0,8.0,1.0,39216.0,35.3,4.1,3.7,4047.6,3.6,-,
Trial005,P25,CornflowerBlue,rh.avi,brown toy,,Local,3,126681,6.1,0,111076,10280.0,87,11822.4,11321.8,12021.9,12598.3,636.0,12.0,11.0,23.0,1.0,39216.0,35.3,10.6,10.2,11036.8,9.9,-,
Trial006,P26,Crimson,rh.avi,brown toy,,Local,3,126681,6.1,0,111073,6849.9,66,8913.6,8418.9,8866.8,9311.0,400.0,8.0,7.0,12.0,1.0,39216.0,35.3,8.0,7.6,8275.2,7.5,-,
Trial008,P27,Cyan,rh.avi,brown toy,,Local,3,126681,6.1,0,111108,809.3,35,20566.0,19040.5,20030.1,21026.3,128.0,18.0,17.0,29.0,1.0,39216.0,35.3,18.5,17.1,18848.7,17.0,-,
Trial005,P28,DarkBlue,rh.avi,brown toy,,Local,3,126681,6.1,0,111031,20186.0,114,5962.3,3812.5,5593.9,6041.6,340.0,8.0,7.0,14.0,1.0,39216.0,35.3,5.4,3.4,3174.6,2.9,-,
Trial005,P29,DarkCyan,rh.avi,brown toy,,Local,3,126681,6.1,0,110994,7036.9,67,11581.6,11157.2,11598.1,12096.0,91.0,8.0,7.0,19.0,1.0,39216.0,35.3,10.4,10.1,10643.6,9.6,-,
Trial005,P30,DarkGoldenrod,rh.avi,brown toy,,Local,3,126681,6.1,0,111114,4798.9,49,5154.9,4964.9,5300.7,5754.9,248.1,7.0,6.0,9.0,1.0,39216.0,35.3,4.6,4.5,4909.1,4.4,-,
Trial005,P31,DarkGray,rh.avi,brown toy,,Local,3,126681,6.1,0,111034,467.7,25,15742.0,14264.8,15767.7,17086.6,192.1,19.0,18.0,35.0,1.0,39216.0,35.3,14.2,12.8,13330.4,12.0,-,
Trial005,P32,DarkGreen,rh.avi,brown toy,,Local,3,126681,6.1,0,111049,10107.4,85,11034.7,10467.3,10919.4,11224.7,194.2,6.0,5.0,21.0,1.0,39216.0,35.3,9.9,9.4,10111.5,9.1,-,
