Trial,Subject,Color,Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time [ms],Sequence,Net Dwell Time [ms],Dwell Time [ms],Glance Duration [ms],Diversion Duration [ms],First Fixation Duration [ms],Glances Count,Revisits,Fixation Count,Appearance Count,Visible Time [ms],Visible Time [%],Net Dwell Time [%],Dwell Time [%],Fixation Time [ms],Fixation Time [%],Time to First Mouse Click [ms]
Trial006,P13,CornflowerBlue,hh.avi,speaker 2,,Local,1,37128,1.8,0,65103,22886.7,149,1379.5,1291.8,1395.7,1503.7,959.9,2,1,2,1,13786,21.2,2.1,2,1291.8,2,-
Trial006,P13,CornflowerBlue,hh.avi,speaker 1,,Local,2,39240,1.9,0,65103,20423.1,138,4410.5,4266.6,4564.1,4861.7,192,6,5,7,1,13786,21.2,6.8,6.6,4266.6,6.6,-
Trial006,P13,CornflowerBlue,hh.avi,brown toy,,Local,3,16048,0.8,0,65103,770.4,43,7542.6,7407.8,7738.3,8224.8,279.9,8,7,10,1,16590,25.5,11.6,11.4,7343.9,11.3,-
Trial006,P13,CornflowerBlue,hh.avi,green toy,,Local,4,7876,0.4,0,65103,3841.9,71,983.3,1548.3,1647.5,1803.9,452,4,3,4,1,16590,25.5,1.5,2.4,1548.3,2.4,-
Trial006,P13,CornflowerBlue,hh.avi,leg 1,,Local,5,22568,1.1,0,65103,-,-,123.1,0,0,0,0,0,-,0,4,58516,89.9,0.2,0,0,0,-
Trial006,P13,CornflowerBlue,hh.avi,leg 2,,Local,6,19490,0.9,0,65103,45254.9,205,1461.2,1439.7,1635,1852.2,448,4,3,4,4,54610,83.9,2.2,2.2,1439.7,2.2,-
Trial006,P13,CornflowerBlue,hh.avi,arm 1,,Local,7,4772,0.2,0,65103,-,-,126,0,0,0,0,0,-,0,5,52607,80.8,0.2,0,0,0,-
Trial006,P13,CornflowerBlue,hh.avi,hand 1,,Local,8,5887,0.3,0,65103,39639.9,191,393.1,324,324,324,324,1,0,1,4,58516,89.9,0.6,0.5,324,0.5,-
Trial006,P13,CornflowerBlue,hh.avi,hand 2,,Local,9,6087,0.3,0,65103,13656.1,117,1557.3,756,823.9,887.9,432,2,1,2,3,55778,85.7,2.4,1.2,756,1.2,-
Trial006,P13,CornflowerBlue,hh.avi,arm 2,,Local,10,5006,0.2,0,65103,58148.8,224,347.2,200,200,224,200,1,0,1,7,52541,80.7,0.5,0.3,200,0.3,-
Trial006,P13,CornflowerBlue,hh.avi,torso,,Local,11,13014,0.6,0,65103,9332.9,104,6558.4,6969.3,7473.6,7991.8,457.7,13,12,17,4,58749,90.2,10.1,10.7,6754.1,10.4,-
Trial006,P13,CornflowerBlue,hh.avi,head,,Local,12,9975,0.5,0,65103,274.4,21,13244.9,14023.5,14676.1,15366.5,280,17,16,17,4,58749,90.2,20.3,21.5,14023.5,21.5,-
