Trial,Subject,Color,Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time [ms],Sequence,Net Dwell Time [ms],Dwell Time [ms],Glance Duration [ms],Diversion Duration [ms],First Fixation Duration [ms],Glances Count,Revisits,Fixation Count,Appearance Count,Visible Time [ms],Visible Time [%],Net Dwell Time [%],Dwell Time [%],Fixation Time [ms],Fixation Time [%],Time to First Mouse Click [ms],
Trial005,P01,Coral,hl.avi,speaker 2,,Local,1,37128,1.8,0,68094,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,1.0,13786.0,20.2,0.0,0.0,0.0,0.0,-,
Trial005,P06,CornflowerBlue,hl.avi,speaker 2,,Local,1,37128,1.8,0,68094,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,1.0,13786.0,20.2,0.0,0.0,0.0,0.0,-,
Trial005,P02,Crimson,hl.avi,speaker 2,,Local,1,37128,1.8,0,68094,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,1.0,13786.0,20.2,0.0,0.0,0.0,0.0,-,
Trial005,P03,Cyan,hl.avi,speaker 2,,Local,1,37128,1.8,0,68094,26331.7,89,375.6,244.0,328.0,360.0,244.0,1.0,0.0,1.0,1.0,13786.0,20.2,0.6,0.4,244.0,0.4,-,
Trial005,P04,DarkBlue,hl.avi,speaker 2,,Local,1,37128,1.8,0,68094,20354.8,77,444.8,416.0,480.0,609.2,136.0,2.0,1.0,2.0,1.0,13786.0,20.2,0.7,0.6,416.0,0.6,-,
Trial005,P05,DarkCyan,hl.avi,speaker 2,,Local,1,37128,1.8,0,68094,29995.1,98,591.9,651.9,651.9,704.3,171.9,1.0,0.0,2.0,1.0,13786.0,20.2,0.9,1.0,623.9,0.9,-,
Trial005,P07,DarkGoldenrod,hl.avi,speaker 2,,Local,1,37128,1.8,0,68094,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,1.0,13786.0,20.2,0.0,0.0,0.0,0.0,-,
Trial005,P01,Coral,hl.avi,speaker 1,,Local,2,39240,1.9,0,68094,29125.7,97,648.3,287.0,287.0,287.0,220.0,1.0,0.0,2.0,1.0,13786.0,20.2,1.0,0.4,287.0,0.4,-,
Trial005,P06,CornflowerBlue,hl.avi,speaker 1,,Local,2,39240,1.9,0,68094,24907.5,87,1774.6,1719.5,1791.6,1956.0,336.0,3.0,2.0,4.0,1.0,13786.0,20.2,2.6,2.5,1679.4,2.5,-,
Trial005,P02,Crimson,hl.avi,speaker 1,,Local,2,39240,1.9,0,68094,24016.3,82,1451.2,1012.3,1132.2,1187.8,384.5,2.0,1.0,3.0,1.0,13786.0,20.2,2.1,1.5,924.3,1.4,-,
Trial005,P03,Cyan,hl.avi,speaker 1,,Local,2,39240,1.9,0,68094,24531.8,85,3422.2,2645.8,3001.6,3153.4,456.0,5.0,4.0,9.0,1.0,13786.0,20.2,5.0,3.9,2489.8,3.7,-,
Trial005,P04,DarkBlue,hl.avi,speaker 1,,Local,2,39240,1.9,0,68094,24718.2,86,1963.7,1648.8,1772.6,1952.6,496.0,5.0,4.0,5.0,1.0,13786.0,20.2,2.9,2.4,1648.8,2.4,-,
Trial005,P05,DarkCyan,hl.avi,speaker 1,,Local,2,39240,1.9,0,68094,22759.9,80,1299.6,1280.0,1315.4,1411.4,804.0,2.0,1.0,2.0,1.0,13786.0,20.2,1.9,1.9,1280.0,1.9,-,
Trial005,P07,DarkGoldenrod,hl.avi,speaker 1,,Local,2,39240,1.9,0,68094,23387.4,81,691.8,596.6,709.0,812.4,308.0,2.0,1.0,2.0,1.0,13786.0,20.2,1.0,0.9,596.6,0.9,-,
Trial005,P01,Coral,hl.avi,brown toy,,Local,3,16048,0.8,0,68094,-,-,8.0,0.0,0.0,0.0,0.0,0.0,-,0.0,1.0,16590.0,24.4,0.0,0.0,0.0,0.0,-,
Trial005,P06,CornflowerBlue,hl.avi,brown toy,,Local,3,16048,0.8,0,68094,3970.8,37,1761.9,1741.2,1949.5,2085.6,211.9,4.0,3.0,6.0,1.0,16590.0,24.4,2.6,2.6,1709.3,2.5,-,
Trial005,P02,Crimson,hl.avi,brown toy,,Local,3,16048,0.8,0,68094,2331.1,28,3183.3,3119.3,3523.1,4068.2,399.9,7.0,6.0,7.0,1.0,16590.0,24.4,4.7,4.6,3119.3,4.6,-,
Trial005,P03,Cyan,hl.avi,brown toy,,Local,3,16048,0.8,0,68094,3194.4,33,2953.9,2625.9,2990.0,3463.7,316.0,8.0,7.0,10.0,1.0,16590.0,24.4,4.3,3.9,2561.9,3.8,-,
Trial005,P04,DarkBlue,hl.avi,brown toy,,Local,3,16048,0.8,0,68094,2200.9,27,2133.1,2095.8,2267.7,2604.1,152.0,7.0,6.0,8.0,1.0,16590.0,24.4,3.1,3.1,2095.8,3.1,-,
Trial005,P05,DarkCyan,hl.avi,brown toy,,Local,3,16048,0.8,0,68094,2906.3,31,3631.4,3360.4,3704.2,4023.4,480.0,6.0,5.0,6.0,1.0,16590.0,24.4,5.3,4.9,3360.4,4.9,-,
Trial005,P07,DarkGoldenrod,hl.avi,brown toy,,Local,3,16048,0.8,0,68094,4925.7,43,2081.7,1699.3,1991.3,2313.9,136.1,5.0,4.0,7.0,1.0,16590.0,24.4,3.1,2.5,1643.3,2.4,-,
Trial005,P01,Coral,hl.avi,green toy,,Local,4,7876,0.4,0,68094,-,-,8.2,0.0,0.0,0.0,0.0,0.0,-,0.0,1.0,16590.0,24.4,0.0,0.0,0.0,0.0,-,
Trial005,P06,CornflowerBlue,hl.avi,green toy,,Local,4,7876,0.4,0,68094,11825.7,64,196.0,175.9,200.0,323.9,175.9,1.0,0.0,1.0,1.0,16590.0,24.4,0.3,0.3,175.9,0.3,-,
Trial005,P02,Crimson,hl.avi,green toy,,Local,4,7876,0.4,0,68094,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,1.0,16590.0,24.4,0.0,0.0,0.0,0.0,-,
Trial005,P03,Cyan,hl.avi,green toy,,Local,4,7876,0.4,0,68094,9489.6,57,141.6,87.9,112.0,195.8,56.0,1.0,0.0,1.0,1.0,16590.0,24.4,0.2,0.1,56.0,0.1,-,
Trial005,P04,DarkBlue,hl.avi,green toy,,Local,4,7876,0.4,0,68094,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,1.0,16590.0,24.4,0.0,0.0,0.0,0.0,-,
Trial005,P05,DarkCyan,hl.avi,green toy,,Local,4,7876,0.4,0,68094,3450.3,34,939.6,975.8,1111.8,1163.8,663.9,2.0,1.0,2.0,1.0,16590.0,24.4,1.4,1.4,975.8,1.4,-,
Trial005,P07,DarkGoldenrod,hl.avi,green toy,,Local,4,7876,0.4,0,68094,4769.8,41,108.2,68.0,99.9,187.9,68.0,1.0,0.0,1.0,1.0,16590.0,24.4,0.2,0.1,68.0,0.1,-,
Trial005,P01,Coral,hl.avi,leg 1,,Local,5,22145,1.1,0,68094,38655.0,107,976.7,979.8,979.8,1179.8,235.5,3.0,2.0,3.0,3.0,58916.0,86.5,1.4,1.4,979.8,1.4,-,
Trial005,P06,CornflowerBlue,hl.avi,leg 1,,Local,5,22145,1.1,0,68094,10125.8,58,2593.4,1637.0,1796.5,2047.1,315.9,6.0,5.0,6.0,3.0,58916.0,86.5,3.8,2.4,1637.0,2.4,-,
Trial005,P02,Crimson,hl.avi,leg 1,,Local,5,22145,1.1,0,68094,779.2,20,2003.0,1004.0,1428.0,1831.9,76.0,6.0,5.0,6.0,3.0,58916.0,86.5,2.9,1.5,1004.0,1.5,-,
Trial005,P03,Cyan,hl.avi,leg 1,,Local,5,22145,1.1,0,68094,30967.7,100,782.7,423.8,555.9,679.5,235.3,3.0,2.0,3.0,3.0,58916.0,86.5,1.1,0.6,423.8,0.6,-,
Trial005,P04,DarkBlue,hl.avi,leg 1,,Local,5,22145,1.1,0,68094,7144.4,49,5048.4,5031.4,5402.8,5698.9,1567.8,7.0,6.0,7.0,3.0,58916.0,86.5,7.4,7.4,5031.4,7.4,-,
Trial005,P05,DarkCyan,hl.avi,leg 1,,Local,5,22145,1.1,0,68094,11177.4,60,1438.5,1239.7,1287.7,1419.6,311.8,3.0,2.0,3.0,3.0,58916.0,86.5,2.1,1.8,1239.7,1.8,-,
Trial005,P07,DarkGoldenrod,hl.avi,leg 1,,Local,5,22145,1.1,0,68094,11800.6,63,2469.8,2895.9,3363.6,3523.4,296.3,4.0,3.0,5.0,3.0,58916.0,86.5,3.6,4.3,2764.0,4.1,-,
Trial005,P01,Coral,hl.avi,leg 2,,Local,6,20144,1.0,0,68094,43018.9,114,395.5,224.0,260.0,260.0,224.0,1.0,0.0,1.0,4.0,57715.0,84.8,0.6,0.3,224.0,0.3,-,
Trial005,P06,CornflowerBlue,hl.avi,leg 2,,Local,6,20144,1.0,0,68094,10477.8,59,2692.6,1812.0,2026.7,2197.5,544.8,4.0,3.0,4.0,4.0,57715.0,84.8,4.0,2.7,1779.9,2.6,-,
Trial005,P02,Crimson,hl.avi,leg 2,,Local,6,20144,1.0,0,68094,7610.3,50,1808.1,1852.0,2300.1,2611.7,168.0,5.0,4.0,6.0,4.0,57715.0,84.8,2.7,2.7,1788.0,2.6,-,
Trial005,P03,Cyan,hl.avi,leg 2,,Local,6,20144,1.0,0,68094,8089.8,51,1064.0,567.9,790.3,838.3,291.9,2.0,1.0,2.0,4.0,57715.0,84.8,1.6,0.8,567.9,0.8,-,
Trial005,P04,DarkBlue,hl.avi,leg 2,,Local,6,20144,1.0,0,68094,12215.7,66,535.5,120.0,239.9,275.9,120.0,1.0,0.0,1.0,4.0,57715.0,84.8,0.8,0.2,120.0,0.2,-,
Trial005,P05,DarkCyan,hl.avi,leg 2,,Local,6,20144,1.0,0,68094,9357.6,55,588.7,575.7,775.9,959.9,308.0,3.0,2.0,3.0,4.0,57715.0,84.8,0.9,0.8,575.7,0.8,-,
Trial005,P07,DarkGoldenrod,hl.avi,leg 2,,Local,6,20144,1.0,0,68094,12172.8,65,1201.3,784.0,942.0,1174.1,88.0,4.0,3.0,5.0,4.0,57715.0,84.8,1.8,1.2,715.9,1.1,-,
Trial005,P01,Coral,hl.avi,arm 1,,Local,7,4571,0.2,0,68094,-,-,47.9,0.0,0.0,0.0,0.0,0.0,-,0.0,3.0,58916.0,86.5,0.1,0.0,0.0,0.0,-,
Trial005,P06,CornflowerBlue,hl.avi,arm 1,,Local,7,4571,0.2,0,68094,-,-,3.4,0.0,0.0,0.0,0.0,0.0,-,0.0,3.0,58916.0,86.5,0.0,0.0,0.0,0.0,-,
Trial005,P02,Crimson,hl.avi,arm 1,,Local,7,4571,0.2,0,68094,-,-,106.2,0.0,80.0,80.0,0.0,0.0,-,0.0,3.0,58916.0,86.5,0.2,0.0,0.0,0.0,-,
Trial005,P03,Cyan,hl.avi,arm 1,,Local,7,4571,0.2,0,68094,57259.8,125,1499.5,2172.2,2348.3,2463.8,1532.4,3.0,2.0,3.0,3.0,58916.0,86.5,2.2,3.2,2172.2,3.2,-,
Trial005,P04,DarkBlue,hl.avi,arm 1,,Local,7,4571,0.2,0,68094,22411.7,79,8130.7,5738.2,6471.8,6968.4,1335.0,15.0,14.0,19.0,3.0,58916.0,86.5,11.9,8.4,5334.2,7.8,-,
Trial005,P05,DarkCyan,hl.avi,arm 1,,Local,7,4571,0.2,0,68094,-,-,348.1,0.0,0.0,0.0,0.0,0.0,-,0.0,3.0,58916.0,86.5,0.5,0.0,0.0,0.0,-,
Trial005,P07,DarkGoldenrod,hl.avi,arm 1,,Local,7,4571,0.2,0,68094,36809.8,106,883.6,1179.5,1179.5,1287.5,84.0,2.0,1.0,2.0,3.0,58916.0,86.5,1.3,1.7,1179.5,1.7,-,
