"","p_id","aoi","cond1","time","cond","age","gender","familiarity","ownARobo","ICA","manipulation","AAP","ica"
"25","P02","arm 1","human",0.00180256636567316,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"26","P02","arm 1","robot",0.00958654933385773,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"27","P02","arm 2","human",0.0206378572883427,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"28","P02","arm 2","robot",0.000675974632515609,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"29","P02","brown toy","human",0.191880650994575,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"30","P02","brown toy","robot",0.147768767849857,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"31","P02","green toy","human",0,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"32","P02","green toy","robot",0,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"33","P02","hand 1","human",0.017104012492362,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"34","P02","hand 1","robot",0.0803426576864461,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"35","P02","hand 2","human",0.044812954036255,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"36","P02","hand 2","robot",0.0116728528587582,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"37","P02","head","human",0.471810713558286,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"38","P02","head","robot",0.229749950838209,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"39","P02","leg 1","human",0.033997555842216,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"40","P02","leg 1","robot",0.199165171328843,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"41","P02","leg 2","human",0.0313280776228017,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"42","P02","leg 2","robot",0.104663917703161,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"43","P02","speaker 1","human",0.105266212099231,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"44","P02","speaker 1","robot",0.0220945152114766,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"45","P02","speaker 2","human",0,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"46","P02","speaker 2","robot",0.0089622495671531,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"47","P02","torso","human",0.0734673093896395,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"48","P02","torso","robot",0.170909431689691,"low",21,"f",-1,1,-3,1,2,"MEDIUM"
"49","P03","arm 1","human",0.0254514902573155,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"50","P03","arm 1","robot",0.00159929452829261,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"51","P03","arm 2","human",0.0405136126009912,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"52","P03","arm 2","robot",0.039102059879062,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"53","P03","brown toy","human",0.178053044002411,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"54","P03","brown toy","robot",0.127532129742962,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"55","P03","green toy","human",0.00853526220614828,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"56","P03","green toy","robot",0.00417941656466748,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"57","P03","hand 1","human",0.0211962794487066,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"58","P03","hand 1","robot",0.0104284450125363,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"59","P03","hand 2","human",0.032244212098581,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
"60","P03","hand 2","robot",0.0306124330170591,"low",20,"f",0,1,-3,-1,1,"MEDIUM"
