Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time Total [ms],Entry Time Average [ms],Entry Time STD [ms],Entry Time Maximum [ms],Entry Time Minimum [ms],Sequence,Net Dwell Time Total [ms],Net Dwell Time Average [ms],Net Dwell Time STD [ms],Net Dwell Time Maximum [ms],Net Dwell Time Minimum [ms],Dwell Time Total [ms],Dwell Time Average [ms],Dwell Time STD [ms],Dwell Time Maximum [ms],Dwell Time Minimum [ms],Glance Duration Total [ms],Glance Duration Average [ms],Glance Duration STD [ms],Glance Duration Maximum [ms],Glance Duration Minimum [ms],Diversion Duration Total [ms],Diversion Duration Average [ms],Diversion Duration STD [ms],Diversion Duration Maximum [ms],Diversion Duration Minimum [ms],First Fixation Duration Total [ms],First Fixation Duration Average [ms],First Fixation Duration STD [ms],First Fixation Duration Maximum [ms],First Fixation Duration Minimum [ms],Glances Count Total,Glances Count Average,Glances Count STD,Glances Count Maximum,Glances Count Minimum,Revisits Total,Revisits Average,Revisits STD,Revisits Maximum,Revisits Minimum,Fixation Count Total,Fixation Count Average,Fixation Count STD,Fixation Count Maximum,Fixation Count Minimum,Appearance Count Total,Appearance Count Average,Appearance Count STD,Appearance Count Maximum,Appearance Count Minimum,Visible Time Total [ms],Visible Time Average [ms],Visible Time STD [ms],Visible Time Maximum [ms],Visible Time Minimum [ms],Visible Time Total [%],Visible Time Average [%],Visible Time STD [%],Visible Time Maximum [%],Visible Time Minimum [%],Net Dwell Time Total [%],Net Dwell Time Average [%],Net Dwell Time STD [%],Net Dwell Time Maximum [%],Net Dwell Time Minimum [%],Dwell Time Total [%],Dwell Time Average [%],Dwell Time STD [%],Dwell Time Maximum [%],Dwell Time Minimum [%],Fixation Time Total [ms],Fixation Time Average [ms],Fixation Time STD [ms],Fixation Time Maximum [ms],Fixation Time Minimum [ms],Fixation Time Total [%],Fixation Time Average [%],Fixation Time STD [%],Fixation Time Maximum [%],Fixation Time Minimum [%],Subject Hit Count,Subject Hit Count [%],Revisitors Count,Time to First Mouse Click Total [ms],Time to First Mouse Click Average [ms],Time to First Mouse Click STD [ms],Time to First Mouse Click Maximum [ms],Time to First Mouse Click Minimum [ms],
hh.avi,speaker 2,,Local,1,37128,1.8,0,111161,159519.8,22788.5,8813.0,27165.3,20388.5,13,6620.0,472.9,610.6,1663.9,0.0,6008.7,429.2,592.2,1646.1,0.0,6562.2,468.7,623.2,1690.1,0.0,7242.1,517.3,680.7,1842.0,0.0,2519.7,180.0,253.4,959.9,68.0,12.0,0.9,1.1,4.0,0.0,11.0,-,-,3.0,-,15.0,1.1,1.3,4.0,0.0,12.0,0.9,0.3,1.0,0.0,165432.0,11816.6,4824.1,13786.0,0.0,253.9,18.1,7.4,21.2,0.0,10.2,0.7,0.9,2.6,0.0,9.2,0.7,0.9,2.5,0.0,5841.1,417.2,0.0,1542.6,0.0,9.0,0.6,0.9,2.4,0.0,7.0,50.0,3.0,-,-,-,-,-,
hh.avi,speaker 1,,Local,2,39240,1.9,0,111161,252585.0,22962.3,2390.0,27405.2,20282.4,15,28169.9,2012.1,1840.9,5045.0,0.0,26075.1,1862.5,1735.0,4628.0,0.0,28201.0,2014.4,1836.7,4987.6,0.0,30494.1,2178.2,1968.9,5469.0,0.0,2298.3,164.2,78.6,428.1,113.8,43.0,3.1,2.5,7.0,0.0,42.0,2.1,2.5,6.0,-,59.0,4.2,4.2,15.0,0.0,12.0,0.9,0.3,1.0,0.0,165432.0,11816.6,4824.1,13786.0,0.0,253.9,18.1,7.4,21.2,0.0,43.2,3.1,2.8,7.7,0.0,40.0,2.9,2.7,7.1,0.0,25124.2,1794.6,0.0,4601.8,0.0,38.6,2.8,2.6,7.1,0.0,11.0,78.6,8.0,-,-,-,-,-,
hh.avi,brown toy,,Local,3,16048,0.8,0,111161,33051.0,3004.6,2260.6,7029.1,770.4,2,33406.9,2386.2,1901.5,7542.6,0.0,32363.1,2311.6,1943.4,7407.8,0.0,35115.8,2508.3,2035.2,7738.3,0.0,38123.6,2723.1,2167.5,8224.8,0.0,3090.6,220.8,133.0,583.9,92.2,55.0,3.9,2.7,8.0,0.0,54.0,2.9,2.7,7.0,-,70.0,5.0,3.6,11.0,0.0,14.0,1.0,0.0,1.0,1.0,199080.2,14220.0,5805.3,16590.0,0.0,405.5,29.0,20.8,100.0,0.0,51.3,3.7,2.9,11.6,0.0,49.7,3.5,3.0,11.4,0.0,31679.7,2262.8,0.0,7343.9,0.0,48.6,3.5,3.0,11.3,0.0,11.0,78.6,11.0,-,-,-,-,-,
hh.avi,green toy,,Local,4,7876,0.4,0,111161,38649.7,4294.4,1422.2,6875.9,2773.6,4,7279.6,520.0,472.9,1288.6,0.0,7351.1,525.1,546.6,1548.3,0.0,8162.0,583.0,591.3,1647.5,0.0,9129.0,652.1,647.6,1803.9,0.0,2614.5,186.7,75.0,452.0,150.6,21.0,1.5,1.4,4.0,0.0,20.0,0.5,1.4,3.0,-,22.0,1.6,1.4,4.0,0.0,14.0,1.0,0.0,1.0,1.0,199080.2,14220.0,5805.3,16590.0,0.0,405.5,29.0,20.8,100.0,0.0,11.2,0.8,0.7,2.0,0.0,11.3,0.8,0.8,2.4,0.0,7308.7,522.1,0.0,1548.3,0.0,11.2,0.8,0.8,2.4,0.0,9.0,64.3,7.0,-,-,-,-,-,
hh.avi,leg 1,,Local,5,22568,1.1,0,111161,233133.6,25903.7,25838.9,64602.6,227.9,17,11053.5,789.5,855.8,3277.4,0.0,7087.6,506.3,663.4,2539.4,0.0,8142.5,581.6,720.9,2715.5,0.0,8886.2,634.7,753.6,2740.0,0.0,2343.6,167.4,152.0,579.8,68.0,19.0,1.4,1.4,5.0,0.0,18.0,0.4,1.4,4.0,-,22.0,1.6,1.6,5.0,0.0,50.0,3.6,1.0,4.0,1.0,702192.2,50156.6,20476.3,58516.0,0.0,1177.7,84.1,23.5,100.0,0.0,17.0,1.2,1.3,5.0,0.0,10.9,0.8,1.0,3.9,0.0,7087.6,506.3,0.0,2539.4,0.0,10.9,0.8,1.0,3.9,0.0,9.0,64.3,5.0,-,-,-,-,-,
hh.avi,leg 2,,Local,6,19490,0.9,0,111161,316209.7,31621.0,20962.5,60995.2,8800.8,18,14271.9,1019.4,1291.8,5178.4,0.0,14659.0,1047.1,1441.8,5802.4,0.0,15967.9,1140.6,1500.3,6046.1,0.0,17297.6,1235.5,1592.4,6402.3,0.0,3509.7,250.7,168.5,684.0,88.0,30.0,2.1,2.1,8.0,0.0,29.0,1.1,2.1,7.0,-,40.0,2.9,3.1,12.0,0.0,50.0,3.6,1.0,4.0,1.0,655320.2,46808.6,19109.5,54610.0,0.0,1105.8,79.0,22.3,100.0,0.0,21.9,1.6,2.0,7.9,0.0,22.5,1.6,2.2,8.9,0.0,14418.3,1029.9,0.0,5738.4,0.0,22.1,1.6,2.2,8.8,0.0,10.0,71.4,8.0,-,-,-,-,-,
hh.avi,arm 1,,Local,7,4772,0.2,0,111161,37017.3,12339.1,17101.9,31260.0,372.4,10,21021.3,1501.5,3982.3,15450.1,0.0,9817.8,701.3,2002.0,7786.3,0.0,10592.6,756.6,2053.6,7984.9,0.0,11136.9,795.5,2142.0,8313.2,0.0,951.5,68.0,146.9,507.5,72.0,14.0,1.0,2.1,7.0,0.0,13.0,0.0,2.1,6.0,-,15.0,1.1,2.3,7.0,0.0,62.0,4.4,1.4,5.0,1.0,631284.2,45091.7,18408.6,52607.0,0.0,1068.9,76.3,21.7,100.0,0.0,32.3,2.3,6.1,23.7,0.0,15.1,1.1,3.1,11.9,0.0,9729.8,695.0,0.0,7786.3,0.0,14.9,1.1,3.1,11.9,0.0,3.0,21.4,3.0,-,-,-,-,-,
hh.avi,hand 1,,Local,8,5887,0.3,0,111161,328309.4,32830.9,23420.2,63731.2,7431.4,19,10762.7,768.8,846.4,3529.1,0.0,11897.9,849.9,1395.1,5498.9,0.0,12694.8,906.8,1407.1,5569.8,0.0,13399.6,957.1,1448.2,5741.9,0.0,5307.4,379.1,462.8,2019.6,56.0,14.0,1.0,0.8,2.0,0.0,13.0,0.0,0.8,1.0,-,14.0,1.0,0.8,2.0,0.0,50.0,3.6,1.0,4.0,1.0,702192.2,50156.6,20476.3,58516.0,0.0,1177.7,84.1,23.5,100.0,0.0,16.5,1.2,1.3,5.4,0.0,18.3,1.3,2.1,8.4,0.0,11818.2,844.2,0.0,5498.9,0.0,18.1,1.3,2.1,8.4,0.0,10.0,71.4,4.0,-,-,-,-,-,
hh.avi,hand 2,,Local,9,6087,0.3,0,111161,205891.4,22876.8,19831.0,55218.6,674.0,14,12168.5,869.2,772.3,2492.8,0.0,8354.9,596.8,1148.8,4627.2,0.0,9476.1,676.9,1169.8,4755.2,0.0,10239.8,731.4,1214.4,4943.3,0.0,2167.9,154.8,99.5,432.0,120.0,19.0,1.4,1.3,5.0,0.0,18.0,0.4,1.3,4.0,-,20.0,1.4,1.5,6.0,0.0,38.0,2.7,0.7,3.0,1.0,669336.2,47809.7,19518.2,55778.0,0.0,1127.3,80.5,22.6,100.0,0.0,18.7,1.3,1.2,3.8,0.0,12.8,0.9,1.8,7.1,0.0,8295.2,592.5,0.0,4567.5,0.0,12.7,0.9,1.7,7.0,0.0,9.0,64.3,7.0,-,-,-,-,-,
hh.avi,arm 2,,Local,10,5006,0.2,0,111161,135682.5,22613.7,19099.8,58148.8,8126.6,12,3775.7,269.7,292.2,833.9,0.0,2167.4,154.8,229.5,799.9,0.0,2647.3,189.1,250.0,839.9,0.0,2955.1,211.1,270.6,864.0,0.0,900.0,64.3,62.1,288.0,56.3,11.0,0.8,1.1,3.0,0.0,10.0,-,-,2.0,-,11.0,0.8,1.1,3.0,0.0,86.0,6.1,2.1,7.0,1.0,630492.2,45035.2,18385.5,52541.0,0.0,1067.7,76.3,21.7,100.0,0.0,5.8,0.4,0.4,1.3,0.0,3.3,0.2,0.4,1.2,0.0,2139.3,152.8,0.0,771.9,0.0,3.3,0.2,0.3,1.2,0.0,6.0,42.9,3.0,-,-,-,-,-,
