Stimulus,from \ to [count],Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,
,
,
hh.avi,,speaker 2,speaker 1,brown toy,green toy,leg 1,leg 2,arm 1,hand 1,hand 2,arm 2,torso,head,
hh.avi,speaker 2,4,3,0,0,0,0,0,0,0,0,0,2,
hh.avi,speaker 1,2,22,0,0,1,0,1,0,1,1,2,5,
hh.avi,brown toy,0,0,17,7,0,1,0,0,2,2,8,13,
hh.avi,green toy,0,0,7,3,0,0,0,0,0,1,3,3,
hh.avi,leg 1,1,1,0,0,4,2,1,0,0,0,2,0,
hh.avi,leg 2,0,0,0,0,0,13,0,0,1,1,5,6,
hh.avi,arm 1,0,2,0,0,0,0,2,0,0,0,3,0,
hh.avi,hand 1,0,0,1,0,1,0,0,0,0,0,1,3,
hh.avi,hand 2,0,0,0,0,0,2,0,0,3,0,1,6,
hh.avi,arm 2,0,0,0,0,0,0,0,0,1,1,2,3,
hh.avi,torso,0,2,8,0,3,6,2,2,0,2,54,19,
hh.avi,head,2,8,12,2,4,4,0,2,6,0,10,96,
rh.avi,,speaker 2,speaker 1,brown toy,green toy,leg 1,leg 2,hand 2,arm 2,hand 1,arm 1,head,torso,
rh.avi,speaker 2,10,0,0,0,1,2,0,0,0,1,3,1,
rh.avi,speaker 1,0,21,0,0,3,2,3,0,3,2,8,8,
rh.avi,brown toy,0,0,84,4,10,11,5,3,36,1,28,13,
rh.avi,green toy,0,0,4,5,1,0,0,0,0,0,0,3,
rh.avi,leg 1,0,3,12,3,62,45,1,0,8,2,18,36,
rh.avi,leg 2,1,1,7,0,29,50,9,1,9,0,31,42,
rh.avi,hand 2,0,1,6,0,3,4,19,2,6,0,20,8,
rh.avi,arm 2,0,0,2,0,0,0,2,0,0,0,10,1,
rh.avi,hand 1,0,0,35,0,11,3,9,1,32,3,17,14,
rh.avi,arm 1,0,4,1,0,0,1,1,0,2,7,9,10,
rh.avi,head,3,6,31,1,27,31,15,8,17,6,234,70,
rh.avi,torso,3,6,11,2,41,25,9,2,14,9,95,79,
