Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time Total [ms],Entry Time Average [ms],Entry Time STD [ms],Entry Time Maximum [ms],Entry Time Minimum [ms],Sequence,Net Dwell Time Total [ms],Net Dwell Time Average [ms],Net Dwell Time STD [ms],Net Dwell Time Maximum [ms],Net Dwell Time Minimum [ms],Dwell Time Total [ms],Dwell Time Average [ms],Dwell Time STD [ms],Dwell Time Maximum [ms],Dwell Time Minimum [ms],Glance Duration Total [ms],Glance Duration Average [ms],Glance Duration STD [ms],Glance Duration Maximum [ms],Glance Duration Minimum [ms],Diversion Duration Total [ms],Diversion Duration Average [ms],Diversion Duration STD [ms],Diversion Duration Maximum [ms],Diversion Duration Minimum [ms],First Fixation Duration Total [ms],First Fixation Duration Average [ms],First Fixation Duration STD [ms],First Fixation Duration Maximum [ms],First Fixation Duration Minimum [ms],Glances Count Total,Glances Count Average,Glances Count STD,Glances Count Maximum,Glances Count Minimum,Revisits Total,Revisits Average,Revisits STD,Revisits Maximum,Revisits Minimum,Fixation Count Total,Fixation Count Average,Fixation Count STD,Fixation Count Maximum,Fixation Count Minimum,Appearance Count Total,Appearance Count Average,Appearance Count STD,Appearance Count Maximum,Appearance Count Minimum,Visible Time Total [ms],Visible Time Average [ms],Visible Time STD [ms],Visible Time Maximum [ms],Visible Time Minimum [ms],Visible Time Total [%],Visible Time Average [%],Visible Time STD [%],Visible Time Maximum [%],Visible Time Minimum [%],Net Dwell Time Total [%],Net Dwell Time Average [%],Net Dwell Time STD [%],Net Dwell Time Maximum [%],Net Dwell Time Minimum [%],Dwell Time Total [%],Dwell Time Average [%],Dwell Time STD [%],Dwell Time Maximum [%],Dwell Time Minimum [%],Fixation Time Total [ms],Fixation Time Average [ms],Fixation Time STD [ms],Fixation Time Maximum [ms],Fixation Time Minimum [ms],Fixation Time Total [%],Fixation Time Average [%],Fixation Time STD [%],Fixation Time Maximum [%],Fixation Time Minimum [%],Subject Hit Count,Subject Hit Count [%],Revisitors Count,Time to First Mouse Click Total [ms],Time to First Mouse Click Average [ms],Time to First Mouse Click STD [ms],Time to First Mouse Click Maximum [ms],Time to First Mouse Click Minimum [ms],
hl.avi,speaker 2,,Local,1,37128,1.8,0,68094,76681.5,25560.5,18505.6,29995.1,20354.8,16,1412.2,201.7,240.3,591.9,0.0,1311.9,187.4,242.5,651.9,0.0,1459.9,208.6,255.9,651.9,0.0,1673.5,239.1,292.0,704.3,0.0,551.9,78.8,90.1,244.0,136.0,4.0,0.6,0.7,2.0,0.0,3.0,-,-,1.0,-,5.0,0.7,0.9,2.0,0.0,7.0,1.0,0.0,1.0,1.0,96502.0,13786.0,0.0,13786.0,13786.0,141.7,20.2,0.0,20.2,20.2,2.1,0.3,0.4,0.9,0.0,1.9,0.3,0.4,1.0,0.0,1283.9,183.4,0.0,623.9,0.0,1.9,0.3,0.3,0.9,0.0,3.0,42.9,1.0,-,-,-,-,-,
hl.avi,speaker 1,,Local,2,39240,1.9,0,68094,173446.8,24778.1,1911.3,29125.7,22759.9,14,11251.5,1607.4,872.3,3422.2,648.3,9189.9,1312.8,728.2,2645.8,287.0,10009.3,1429.9,814.7,3001.6,287.0,10760.7,1537.2,860.8,3153.4,287.0,3004.4,429.2,175.2,804.0,220.0,20.0,2.9,1.5,5.0,1.0,19.0,1.9,1.5,4.0,0.0,27.0,3.9,2.4,9.0,2.0,7.0,1.0,0.0,1.0,1.0,96502.0,13786.0,0.0,13786.0,13786.0,141.7,20.2,0.0,20.2,20.2,16.5,2.4,1.3,5.0,1.0,13.5,1.9,1.1,3.9,0.4,8905.9,1272.3,0.0,2489.8,287.0,13.1,1.9,1.0,3.7,0.4,7.0,100.0,6.0,-,-,-,-,-,
hl.avi,brown toy,,Local,3,16048,0.8,0,68094,19529.3,3254.9,1553.2,4925.7,2200.9,3,15753.3,2250.5,1107.2,3631.4,8.0,14641.9,2091.7,1042.2,3360.4,0.0,16425.7,2346.5,1161.1,3704.2,0.0,18558.9,2651.3,1310.2,4068.2,0.0,1695.8,242.3,153.9,480.0,136.1,37.0,5.3,2.5,8.0,0.0,36.0,4.3,2.5,7.0,-,44.0,6.3,2.9,10.0,0.0,7.0,1.0,0.0,1.0,1.0,116130.0,16590.0,0.0,16590.0,16590.0,170.5,24.4,0.0,24.4,24.4,23.1,3.3,1.6,5.3,0.0,21.5,3.1,1.5,4.9,0.0,14490.0,2070.0,0.0,3360.4,0.0,21.3,3.0,1.5,4.9,0.0,6.0,85.7,6.0,-,-,-,-,-,
hl.avi,green toy,,Local,4,7876,0.4,0,68094,29535.4,7383.8,4763.9,11825.7,3450.3,4,1393.6,199.1,310.7,939.6,0.0,1307.6,186.8,327.6,975.8,0.0,1523.6,217.7,371.7,1111.8,0.0,1871.3,267.3,384.1,1163.8,0.0,963.7,137.7,210.6,663.9,56.0,5.0,0.7,0.7,2.0,0.0,4.0,-,-,1.0,-,5.0,0.7,0.7,2.0,0.0,7.0,1.0,0.0,1.0,1.0,116130.0,16590.0,0.0,16590.0,16590.0,170.5,24.4,0.0,24.4,24.4,2.0,0.3,0.5,1.4,0.0,1.9,0.3,0.5,1.4,0.0,1275.7,182.2,0.0,975.8,0.0,1.9,0.3,0.5,1.4,0.0,4.0,57.1,1.0,-,-,-,-,-,
hl.avi,leg 1,,Local,5,22145,1.1,0,68094,110650.1,15807.2,12663.3,38655.0,779.2,12,15312.5,2187.5,1334.3,5048.4,782.7,13211.5,1887.4,1470.2,5031.4,423.8,14814.2,2116.3,1574.2,5402.8,555.9,16380.2,2340.0,1602.6,5698.9,679.5,3038.7,434.1,469.1,1567.8,76.0,32.0,4.6,1.6,7.0,3.0,31.0,3.6,1.6,6.0,2.0,33.0,4.7,1.6,7.0,3.0,21.0,3.0,0.0,3.0,3.0,412412.0,58916.0,0.0,58916.0,58916.0,605.6,86.5,0.0,86.5,86.5,22.5,3.2,2.0,7.4,1.1,19.4,2.8,2.2,7.4,0.6,13079.6,1868.5,0.0,5031.4,423.8,19.2,2.7,2.1,7.4,0.6,7.0,100.0,7.0,-,-,-,-,-,
hl.avi,leg 2,,Local,6,20144,1.0,0,68094,102942.8,14706.1,11679.3,43018.9,7610.3,10,8285.6,1183.7,763.1,2692.6,395.5,5935.5,847.9,656.1,1852.0,120.0,7334.9,1047.8,751.3,2300.1,239.9,8317.5,1188.2,837.8,2611.7,260.0,1744.7,249.2,142.7,544.8,88.0,20.0,2.9,1.5,5.0,1.0,19.0,1.9,1.5,4.0,0.0,22.0,3.1,1.8,6.0,1.0,28.0,4.0,0.0,4.0,4.0,404005.0,57715.0,0.0,57715.0,57715.0,593.3,84.8,0.0,84.8,84.8,12.2,1.7,1.1,4.0,0.6,8.7,1.2,1.0,2.7,0.2,5771.4,824.5,0.0,1788.0,120.0,8.5,1.2,0.9,2.6,0.2,7.0,100.0,5.0,-,-,-,-,-,
hl.avi,arm 1,,Local,7,4571,0.2,0,68094,116481.2,38827.1,31010.7,57259.8,22411.7,21,11019.4,1574.2,2723.6,8130.7,3.4,9089.9,1298.6,1972.4,5738.2,0.0,10079.5,1439.9,2213.0,6471.8,0.0,10799.6,1542.8,2379.4,6968.4,0.0,2951.3,421.6,620.1,1532.4,84.0,20.0,2.9,5.1,15.0,0.0,19.0,1.9,5.1,14.0,-,24.0,3.4,6.5,19.0,0.0,21.0,3.0,0.0,3.0,3.0,412412.0,58916.0,0.0,58916.0,58916.0,605.6,86.5,0.0,86.5,86.5,16.2,2.3,4.0,11.9,0.0,13.3,1.9,2.9,8.4,0.0,8685.9,1240.8,0.0,5334.2,0.0,12.8,1.8,2.7,7.8,0.0,3.0,42.9,3.0,-,-,-,-,-,
hl.avi,hand 1,,Local,8,5725,0.3,0,68094,180703.0,30117.2,23070.6,57871.5,12879.8,18,9432.6,1347.5,774.7,2879.7,49.1,7442.6,1063.2,728.1,2355.5,0.0,8221.0,1174.4,798.2,2603.8,0.0,9095.3,1299.3,865.1,2883.9,0.0,1782.2,254.6,150.9,512.3,136.0,20.0,2.9,1.7,6.0,0.0,19.0,1.9,1.7,5.0,-,21.0,3.0,1.9,6.0,0.0,21.0,3.0,0.0,3.0,3.0,412412.0,58916.0,0.0,58916.0,58916.0,605.6,86.5,0.0,86.5,86.5,13.9,2.0,1.1,4.2,0.1,10.9,1.6,1.1,3.5,0.0,7442.6,1063.2,0.0,2355.5,0.0,10.9,1.6,1.1,3.5,0.0,6.0,85.7,6.0,-,-,-,-,-,
hl.avi,hand 2,,Local,9,5902,0.3,0,68094,177407.2,25343.9,9914.8,33018.3,4789.0,15,13456.2,1922.3,991.4,3485.6,354.0,17781.3,2540.2,1732.4,5170.8,217.4,19057.5,2722.5,1824.3,5524.4,261.4,20501.1,2928.7,1872.8,5804.5,356.1,1244.2,177.7,85.7,339.6,73.3,32.0,4.6,1.8,7.0,2.0,31.0,3.6,1.8,6.0,1.0,44.0,6.3,2.8,10.0,2.0,21.0,3.0,0.0,3.0,3.0,412412.0,58916.0,0.0,58916.0,58916.0,605.6,86.5,0.0,86.5,86.5,19.8,2.8,1.5,5.1,0.5,26.1,3.7,2.5,7.6,0.3,17243.4,2463.3,0.0,5038.5,217.4,25.3,3.6,2.5,7.4,0.3,7.0,100.0,7.0,-,-,-,-,-,
hl.avi,arm 2,,Local,10,4861,0.2,0,68094,212246.1,42449.2,16572.9,57222.9,12440.8,22,6949.7,992.8,667.0,2386.9,352.2,3607.3,515.3,433.8,1167.7,0.0,4549.7,650.0,529.0,1443.2,60.1,5000.7,714.4,585.3,1539.1,60.1,1571.8,224.5,180.9,611.8,68.1,13.0,1.9,1.6,4.0,0.0,12.0,0.9,1.6,3.0,-,15.0,2.1,2.1,6.0,0.0,21.0,3.0,0.0,3.0,3.0,412412.0,58916.0,0.0,58916.0,58916.0,605.6,86.5,0.0,86.5,86.5,10.2,1.5,1.0,3.5,0.5,5.3,0.8,0.6,1.7,0.0,3527.3,503.9,0.0,1167.7,0.0,5.2,0.7,0.6,1.7,0.0,5.0,71.4,3.0,-,-,-,-,-,
