Stimulus,from \ to [count],Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,Area of Interest,
,
,
hl.avi,,speaker 2,speaker 1,brown toy,green toy,leg 1,leg 2,arm 1,hand 1,hand 2,arm 2,torso,head,
hl.avi,speaker 2,0,1,0,0,0,0,0,1,0,1,1,0,
hl.avi,speaker 1,1,2,0,0,3,0,0,1,0,0,0,0,
hl.avi,brown toy,0,0,3,0,0,0,0,0,0,1,10,2,
hl.avi,green toy,0,0,0,0,0,0,0,0,0,0,0,0,
hl.avi,leg 1,0,3,0,0,4,1,1,0,0,1,10,2,
hl.avi,leg 2,0,0,1,0,2,3,0,0,2,2,5,0,
hl.avi,arm 1,0,0,0,0,0,0,0,0,0,0,3,0,
hl.avi,hand 1,0,0,0,0,1,0,0,1,0,0,4,2,
hl.avi,hand 2,0,0,1,0,1,1,0,0,0,3,0,3,
hl.avi,arm 2,1,1,0,0,0,2,0,0,3,3,3,4,
hl.avi,torso,0,1,8,0,3,5,3,5,4,2,33,12,
hl.avi,head,1,0,5,0,3,2,1,1,1,2,6,6,
rl.avi,,speaker 2,speaker 1,brown toy,green toy,leg 1,leg 2,hand 2,arm 2,hand 1,arm 1,head,torso,
rl.avi,speaker 2,7,1,0,0,0,1,1,0,0,0,2,7,
rl.avi,speaker 1,1,11,0,0,1,2,1,0,0,0,3,8,
rl.avi,brown toy,0,0,35,1,4,4,1,2,22,0,7,12,
rl.avi,green toy,0,0,1,1,0,0,0,0,0,0,0,2,
rl.avi,leg 1,0,2,3,0,10,20,1,0,4,0,10,19,
rl.avi,leg 2,1,1,5,0,26,40,7,3,0,0,14,29,
rl.avi,hand 2,0,1,2,0,1,6,12,1,4,0,7,9,
rl.avi,arm 2,0,0,1,0,0,1,0,0,3,0,6,7,
rl.avi,hand 1,0,4,19,0,2,0,3,0,22,1,7,6,
rl.avi,arm 1,0,0,0,0,0,0,0,1,0,0,2,1,
rl.avi,head,4,5,16,2,12,25,8,6,9,2,77,29,
rl.avi,torso,5,9,9,1,13,24,6,5,5,1,71,62,
